1:Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
351:|||||||000001|11/01/2024|Vente en l'état futur d'achèvement|290000,00||||B018|MONTCEAUX VILLAGE|1090|MONTCEAUX|01|258||A|813||||||||||||0||||||AB||264
352:|||||||000002|11/01/2024|Vente|1,00||||B078|LES MALLADIERES|1710|THOIRY|01|419||BT|379||||||||||||0||||||S||1
353:|||||||000001|11/01/2024|Vente|255000,00||||B028|A LA FIN|1550|POUGNY|01|308||AC|195||||||||||||0||||||T||159
354:|||||||000001|11/01/2024|Vente|255000,00||||B028|A LA FIN|1550|POUGNY|01|308||AC|196||||||||||||0||||||T||730
355:|||||||000001|11/01/2024|Vente|255000,00||||B028|A LA FIN|1550|POUGNY|01|308||AC|206||||||||||||0||||||BS||180
356:|||||||000001|15/01/2024|Vente|302000,00|218||RTE|0055|LYON|1640|SAINT-JEAN-LE-VIEUX|01|363||AC|245||||||||||||0|3|Dépendance||0|0|S||657
357:|||||||000001|15/01/2024|Vente|302000,00|218||RTE|0055|LYON|1640|SAINT-JEAN-LE-VIEUX|01|363||AC|245||||||||||||0|3|Dépendance||0|0|S||657
358:|||||||000001|15/01/2024|Vente|302000,00|218||RTE|0055|LYON|1640|SAINT-JEAN-LE-VIEUX|01|363||AC|245||||||||||||0|1|Maison||115|5|S||657
359:|||||||000001|03/01/2024|Vente|15000,00|190||RUE|0041|DE LA GARE|1450|BOLOZON|01|51||A|1753||||||||||||0|1|Maison||26|1|T||154
360:|||||||000001|10/01/2024|Vente|225000,00|84||RUE|0480|DES VAVRES|1000|SAINT-DENIS-LES-BOURG|01|344||AH|282||||||||||||0|1|Maison||102|5|S||831
